id,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,state,color
3298,20593,2005,Toyota,C-Class,fair,other,hybrid,69921,salvage,,OH,
6508,9427,2021,,Impala,,6 cylinders,electric,217402,clean,automatic,NY,blue
9365,8357,2004,Ford,Focus,fair,4 cylinders,hybrid,237489,clean,manual,OH,blue
6621,40581,1996,Honda,Focus,,8 cylinders,,114443,rebuilt,,NY,red
7587,,2020,Ford,3 Series,like new,other,gas,100276,,manual,FL,blue
2457,10456,2002,,C-Class,,3 cylinders,gas,131291,salvage,manual,NC,
6276,44419,2015,Nissan,Civic,excellent,4 cylinders,hybrid,35921,salvage,automatic,IL,silver
4746,77698,2008,,,,other,,159864,salvage,manual,MI,other
455,48770,2019,Volkswagen,,salvage,other,electric,245989,rebuilt,automatic,NY,silver
833,6074,2008,Toyota,Rio,salvage,6 cylinders,hybrid,16880,salvage,,PA,blue
6531,32654,2007,Volkswagen,Focus,like new,,diesel,105121,clean,automatic,TX,gray
2604,29041,2019,Volkswagen,3 Series,good,,electric,236894,salvage,,IL,other
8379,6655,2015,Mercedes,Altima,excellent,,electric,137970,rebuilt,manual,PA,green
9760,29509,1998,BMW,Civic,like new,,gas,125756,salvage,,TX,black
599,41703,2001,Honda,Golf,excellent,8 cylinders,gas,229476,,manual,IL,gray
7900,27353,2021,Chevrolet,Golf,like new,3 cylinders,,203191,,manual,PA,blue
7649,39541,2004,Ford,,excellent,6 cylinders,electric,208664,salvage,,MI,green
4355,32871,2012,BMW,Corolla,excellent,,,195460,rebuilt,,PA,green
5333,33043,2021,BMW,C-Class,like new,,electric,133014,,,IL,green
1643,70667,2021,Nissan,Elantra,like new,other,electric,26175,rebuilt,,FL,green
8094,66560,2010,BMW,,like new,,,200407,clean,,TX,
7140,48098,2022,Hyundai,,fair,3 cylinders,diesel,102065,rebuilt,automatic,MI,white
1605,3793,1995,,Altima,like new,6 cylinders,hybrid,171626,salvage,automatic,CA,red
4476,67891,2017,Hyundai,Elantra,salvage,4 cylinders,hybrid,193749,,manual,IL,white
79,21567,2017,Mercedes,Rio,good,,hybrid,57900,clean,,MI,green
1450,67703,2022,Volkswagen,Impala,like new,,hybrid,204508,salvage,automatic,MI,white
3890,48731,2017,,Impala,excellent,3 cylinders,gas,167090,,,NY,blue
4433,2200,2017,BMW,Civic,good,8 cylinders,diesel,11891,,automatic,GA,gray
5521,4366,2018,,Corolla,,other,,196386,salvage,automatic,OH,gray
2272,4260,2022,Chevrolet,Corolla,good,,gas,64569,,manual,MI,gray
3820,31674,2017,Honda,Impala,like new,6 cylinders,diesel,188314,clean,manual,CA,white
1463,78014,2007,Kia,Corolla,,3 cylinders,gas,71116,clean,automatic,GA,white
5691,48074,2018,Chevrolet,Altima,fair,6 cylinders,hybrid,42183,,manual,OH,red
1845,8142,2007,,Rio,,4 cylinders,hybrid,247424,,automatic,MI,black
3093,62324,2015,BMW,Civic,good,8 cylinders,gas,238680,rebuilt,automatic,MI,red
4117,10403,2014,Toyota,Altima,fair,3 cylinders,gas,120667,,manual,MI,other
6495,75824,2022,Nissan,Golf,,8 cylinders,electric,144896,rebuilt,,OH,red
8814,79340,2010,Nissan,C-Class,,other,electric,158006,clean,manual,NY,gray
1456,77714,2005,,,salvage,3 cylinders,diesel,152527,clean,automatic,TX,blue
3730,13775,1996,BMW,Golf,fair,4 cylinders,gas,123254,rebuilt,manual,PA,gray
9556,73215,1997,Kia,Altima,,8 cylinders,,49894,,,PA,other
5383,25683,2013,Ford,,like new,6 cylinders,diesel,205980,rebuilt,manual,OH,gray
5263,9217,2019,Ford,Focus,salvage,4 cylinders,,228262,rebuilt,manual,MI,green
4359,25342,1999,Hyundai,Impala,salvage,6 cylinders,diesel,152272,clean,,FL,white
4816,31916,2020,Kia,Elantra,salvage,3 cylinders,electric,149296,rebuilt,automatic,MI,red
2206,3821,2001,Nissan,Altima,,6 cylinders,,77922,salvage,,OH,red
7431,10016,2021,Nissan,Corolla,excellent,,electric,42673,clean,manual,PA,white
2708,10057,2009,Chevrolet,Rio,excellent,6 cylinders,electric,176740,,,MI,red
9717,58505,2019,Kia,Rio,good,8 cylinders,electric,37096,clean,automatic,GA,silver
5274,34913,2002,Mercedes,,excellent,6 cylinders,gas,120589,rebuilt,automatic,OH,black
4276,8184,1995,Hyundai,Elantra,fair,8 cylinders,,92669,rebuilt,automatic,NY,
3417,69610,2002,Mercedes,Elantra,like new,8 cylinders,gas,113275,salvage,automatic,TX,red
5410,3659,2010,BMW,Golf,like new,4 cylinders,hybrid,5688,salvage,manual,IL,black
1200,1562,2013,Chevrolet,Rio,,8 cylinders,gas,106712,rebuilt,manual,FL,other
4895,20683,2015,BMW,Elantra,excellent,8 cylinders,,220580,clean,manual,CA,
6589,19739,2018,Chevrolet,,excellent,3 cylinders,diesel,134564,,,IL,green
5303,71931,2009,,Focus,excellent,8 cylinders,gas,82463,rebuilt,,CA,
7516,73491,2009,Nissan,Civic,salvage,6 cylinders,diesel,26501,clean,automatic,CA,silver
45,77059,2002,Toyota,Civic,fair,3 cylinders,hybrid,930,salvage,manual,NC,blue
7127,75546,2022,Nissan,Rio,excellent,3 cylinders,diesel,216358,clean,,OH,white
2898,12036,2005,,Elantra,fair,3 cylinders,,93307,clean,,CA,blue
3449,72624,2000,Nissan,Altima,like new,6 cylinders,hybrid,169251,clean,,NC,blue
7340,75818,2006,Mercedes,C-Class,,4 cylinders,,27268,rebuilt,manual,IL,green
7825,70704,2020,Kia,Golf,salvage,4 cylinders,electric,241863,rebuilt,automatic,NY,
9755,11465,2008,,Altima,like new,3 cylinders,electric,118047,rebuilt,automatic,CA,gray
900,50315,2015,Honda,Corolla,salvage,4 cylinders,gas,30498,clean,manual,PA,
5530,33851,2006,Chevrolet,Civic,salvage,6 cylinders,diesel,222159,salvage,manual,FL,other
7504,16822,2018,Kia,Impala,,6 cylinders,,135525,salvage,automatic,CA,green
425,16654,2021,Chevrolet,C-Class,like new,,hybrid,249723,,,NC,black
7183,7532,1997,Kia,,like new,other,gas,31181,,manual,OH,white
8456,3793,1998,,Golf,,other,hybrid,188661,rebuilt,,NC,
3580,63730,1995,Chevrolet,Corolla,,,hybrid,147763,rebuilt,,NY,gray
9588,52112,2012,BMW,3 Series,fair,8 cylinders,hybrid,219421,salvage,automatic,GA,green
6017,37237,2008,Mercedes,Altima,good,other,diesel,198452,salvage,automatic,TX,
1513,2596,2009,Hyundai,3 Series,excellent,,diesel,240886,,manual,MI,green
1705,48288,2022,Toyota,,like new,3 cylinders,,129597,clean,,PA,other
57,9730,2004,BMW,Focus,good,other,diesel,216105,rebuilt,automatic,GA,green
691,23623,2006,Mercedes,Elantra,excellent,other,electric,108676,,manual,PA,white
8377,63579,1995,Toyota,Golf,good,8 cylinders,hybrid,225787,rebuilt,automatic,NY,
4557,67117,2000,Kia,,good,3 cylinders,electric,110270,clean,manual,TX,blue
6248,58566,1996,,Civic,,6 cylinders,hybrid,77695,clean,automatic,GA,black
4096,37134,2021,Honda,Golf,good,8 cylinders,,17204,rebuilt,,FL,other
4455,28939,2018,Nissan,Impala,fair,other,gas,165082,,manual,CA,
943,15453,2008,Ford,Focus,good,3 cylinders,diesel,241174,,,IL,red
7815,22835,2014,Ford,Elantra,like new,3 cylinders,hybrid,71574,,automatic,OH,blue
9819,52909,1997,,,excellent,8 cylinders,,147876,,manual,CA,
3698,17335,2007,Nissan,Civic,excellent,other,electric,246843,rebuilt,,NY,other
4152,7289,2022,Toyota,,,8 cylinders,hybrid,49935,clean,automatic,IL,other
6884,4248,2022,Ford,C-Class,excellent,4 cylinders,gas,87253,clean,automatic,NC,white
6484,22077,2003,Honda,Elantra,fair,4 cylinders,diesel,188150,salvage,manual,TX,blue
4214,60360,2014,Hyundai,Focus,good,8 cylinders,gas,189699,clean,automatic,FL,red
5465,47262,,,C-Class,good,,gas,27001,,automatic,NC,red
5847,38814,2015,,Focus,fair,3 cylinders,diesel,145400,rebuilt,automatic,GA,gray
2165,48099,2014,Nissan,,fair,3 cylinders,hybrid,238099,salvage,manual,TX,other
8769,25684,2003,Mercedes,Rio,excellent,3 cylinders,electric,31911,clean,automatic,MI,blue
9275,57075,2011,Honda,Impala,salvage,8 cylinders,hybrid,182311,salvage,automatic,NC,
9666,5076,1998,Chevrolet,Corolla,excellent,8 cylinders,hybrid,143278,salvage,automatic,CA,red
3458,29482,1995,Nissan,Golf,,6 cylinders,,54250,salvage,,CA,blue
81,38597,2002,Volkswagen,C-Class,excellent,8 cylinders,electric,95070,salvage,,IL,
2746,28367,2017,Kia,Altima,good,3 cylinders,hybrid,32406,clean,manual,MI,black
4111,52503,2011,Kia,Altima,,,diesel,88018,,manual,MI,black
6529,26096,2000,Toyota,Golf,salvage,4 cylinders,diesel,116263,,manual,IL,red
302,11860,2021,Hyundai,,salvage,4 cylinders,electric,167507,salvage,manual,OH,silver
1355,43594,2004,,Elantra,salvage,other,hybrid,165393,rebuilt,manual,FL,silver
5684,8428,2012,Ford,Civic,,8 cylinders,diesel,50923,clean,manual,IL,green
3772,11711,2017,,Golf,like new,other,hybrid,119562,rebuilt,,MI,red
3572,50056,1995,,,excellent,3 cylinders,diesel,144296,rebuilt,manual,NY,red
4357,10216,2018,Mercedes,Corolla,salvage,3 cylinders,gas,66098,salvage,,NY,blue
1282,49256,2011,Kia,C-Class,good,,diesel,44253,clean,,GA,red
3603,68687,2005,Hyundai,Impala,excellent,3 cylinders,electric,144896,salvage,,NC,black
8129,46258,2016,BMW,Corolla,excellent,6 cylinders,,21515,,automatic,MI,gray
9197,4500,2018,BMW,Rio,salvage,other,gas,199451,rebuilt,automatic,MI,gray
9821,18000,2003,Nissan,Altima,good,other,,240315,,manual,IL,other
3152,79136,2003,,Impala,like new,8 cylinders,,143315,rebuilt,automatic,MI,green
7104,7694,1995,Honda,Civic,salvage,,,245173,rebuilt,,TX,other
2134,67554,2021,,Focus,fair,6 cylinders,,75202,,manual,CA,
4423,17868,1997,Honda,Altima,fair,8 cylinders,diesel,118330,clean,automatic,MI,red
8516,3217,2017,,Impala,,6 cylinders,hybrid,222194,,,FL,white
9826,10089,2022,Kia,,fair,other,,188090,salvage,,MI,gray
6527,4345,1998,Volkswagen,Impala,salvage,other,electric,46361,rebuilt,automatic,FL,red
3306,33413,2014,Mercedes,Elantra,good,3 cylinders,gas,30671,,,NY,white
1661,17527,2014,Ford,Rio,fair,3 cylinders,diesel,117548,rebuilt,automatic,MI,other
4058,46986,1998,Hyundai,,good,other,diesel,7281,,automatic,TX,gray
4663,53156,1999,Hyundai,Rio,salvage,3 cylinders,hybrid,185750,clean,manual,CA,black
6903,54597,2010,Honda,Focus,good,4 cylinders,electric,91987,,,MI,white
4518,73088,2009,Honda,Impala,,,electric,224453,clean,,OH,red
579,66386,2000,Kia,,like new,other,,226169,,automatic,TX,silver
9565,35242,2014,Nissan,Golf,fair,6 cylinders,gas,238572,salvage,,PA,silver
6318,22066,2014,BMW,Elantra,excellent,other,,31417,,manual,GA,blue
6123,45476,1998,BMW,C-Class,like new,3 cylinders,gas,234121,clean,,FL,silver
9397,54598,1995,Chevrolet,Rio,,other,electric,45711,salvage,automatic,GA,other
7562,70285,2017,Kia,Golf,salvage,4 cylinders,,206391,salvage,automatic,FL,gray
3168,70969,2019,,,fair,4 cylinders,electric,34060,salvage,automatic,TX,silver
4450,65291,2007,Kia,Civic,good,4 cylinders,hybrid,31417,salvage,,IL,other
1501,63171,2003,Volkswagen,3 Series,good,4 cylinders,hybrid,150662,clean,automatic,GA,black
6028,40732,2015,Honda,Impala,fair,8 cylinders,,121043,clean,manual,CA,green
8894,72873,2006,,Corolla,salvage,8 cylinders,,36587,rebuilt,automatic,NY,white
901,25895,2004,BMW,Civic,salvage,8 cylinders,electric,105949,rebuilt,manual,MI,white
9990,34832,2008,Nissan,Golf,fair,3 cylinders,gas,68204,rebuilt,manual,NY,black
772,62001,2001,Nissan,Civic,salvage,other,electric,56232,rebuilt,manual,PA,black
3111,55818,2012,Volkswagen,,fair,6 cylinders,hybrid,98540,clean,manual,OH,black
4660,48904,2022,Chevrolet,Altima,excellent,3 cylinders,diesel,136754,,,NC,white
4877,4798,2015,Ford,3 Series,like new,6 cylinders,,157168,clean,manual,MI,silver
5049,29613,2019,Chevrolet,Elantra,,,diesel,2857,salvage,manual,CA,black
191,45770,1998,Honda,Altima,,8 cylinders,diesel,183453,salvage,manual,NY,green
2793,14003,2003,Volkswagen,,salvage,3 cylinders,electric,215815,rebuilt,automatic,FL,blue
2264,55749,2015,Volkswagen,Rio,salvage,4 cylinders,electric,199453,,automatic,GA,silver
2199,3483,1995,Chevrolet,Rio,salvage,8 cylinders,diesel,235106,,,CA,white
8915,1742,1995,Honda,Focus,excellent,4 cylinders,electric,29791,rebuilt,manual,FL,other
2687,5052,2001,Kia,3 Series,like new,other,diesel,166336,salvage,manual,TX,red
1495,63076,2004,,,like new,,gas,246364,salvage,,MI,blue
1053,4993,2019,Toyota,Elantra,salvage,4 cylinders,,237243,,,NC,
4698,15578,2022,,Altima,,other,,117063,clean,manual,CA,gray
5781,10707,2022,BMW,Golf,fair,3 cylinders,,128089,salvage,,GA,
3915,32722,,Nissan,Impala,,,hybrid,52705,clean,,IL,silver
4437,4514,2022,Mercedes,Golf,like new,6 cylinders,electric,135398,,,TX,white
1194,17868,2016,Volkswagen,Impala,like new,3 cylinders,electric,93770,rebuilt,,NC,green
7771,24545,2015,Volkswagen,3 Series,good,3 cylinders,,67530,rebuilt,,TX,black
7509,3588,2008,Nissan,Altima,fair,other,,187198,,,NY,other
4479,659,1995,Mercedes,Focus,fair,,hybrid,229423,,automatic,PA,black
3964,47718,2009,,Impala,excellent,3 cylinders,diesel,139236,salvage,manual,IL,gray
5985,22186,1999,Ford,Impala,fair,4 cylinders,,181091,,automatic,TX,white
2079,75679,1999,Volkswagen,Altima,,6 cylinders,diesel,197393,,manual,IL,
4073,66833,1995,Kia,Golf,fair,6 cylinders,hybrid,103648,,automatic,TX,gray
7961,52286,2007,BMW,,salvage,6 cylinders,hybrid,22834,salvage,manual,PA,red
1846,15589,2017,Kia,Altima,excellent,other,hybrid,86142,salvage,manual,GA,red
5825,60506,2004,BMW,C-Class,excellent,other,diesel,80675,rebuilt,automatic,PA,
1054,3930,2014,Honda,Civic,like new,other,gas,110345,clean,automatic,PA,red
5525,40722,1996,Nissan,3 Series,good,,hybrid,182054,clean,,IL,blue
2053,54578,2000,Volkswagen,3 Series,good,8 cylinders,electric,100983,rebuilt,,NC,
9810,79172,1998,Toyota,Focus,,8 cylinders,,204931,,manual,GA,blue
1073,67655,2015,Toyota,3 Series,,4 cylinders,electric,128678,clean,,NY,blue
6149,11546,,Mercedes,3 Series,,8 cylinders,hybrid,172479,rebuilt,manual,TX,silver
6785,1260,2007,Toyota,3 Series,good,3 cylinders,diesel,87253,,,OH,red
3981,58389,2014,Honda,Rio,,other,gas,156389,rebuilt,automatic,MI,silver
4739,7569,2005,,C-Class,fair,other,diesel,246268,rebuilt,automatic,NY,red
4578,67864,2018,BMW,,salvage,other,,221900,rebuilt,automatic,OH,blue
7371,2623,2003,,Altima,like new,8 cylinders,diesel,20328,clean,automatic,CA,blue
9972,60396,2000,,3 Series,excellent,4 cylinders,electric,4387,clean,automatic,PA,black
174,75660,2012,,C-Class,fair,other,,148736,clean,,OH,other
4222,64231,2014,Mercedes,Altima,like new,6 cylinders,diesel,142027,,,IL,black
6122,1981,2003,Mercedes,Rio,good,3 cylinders,,103568,rebuilt,automatic,FL,blue
1070,38696,2004,,Impala,excellent,8 cylinders,gas,48410,,,TX,green
5761,67352,2014,BMW,Elantra,fair,4 cylinders,hybrid,207766,,automatic,IL,other
6904,18227,2009,Honda,,,8 cylinders,diesel,48736,rebuilt,automatic,TX,other
7440,28018,2010,BMW,Focus,like new,3 cylinders,gas,95277,clean,automatic,PA,black
3747,79579,2016,Nissan,,,8 cylinders,diesel,177187,clean,,NY,
4725,46592,2000,Nissan,,excellent,4 cylinders,diesel,203487,rebuilt,automatic,NC,
6670,30294,2022,Chevrolet,,like new,other,,220433,rebuilt,manual,CA,white
8565,34283,2022,Volkswagen,Altima,excellent,3 cylinders,diesel,1917,salvage,automatic,FL,blue
4462,6329,1998,BMW,,good,,gas,111177,salvage,,IL,gray
9640,79447,2000,Ford,Focus,fair,,hybrid,8057,rebuilt,automatic,NC,green
2718,39006,2002,Kia,Rio,,other,gas,49903,,,PA,white
5022,55776,2000,Ford,Rio,salvage,6 cylinders,hybrid,145976,clean,automatic,TX,silver
4191,74068,2001,Mercedes,C-Class,fair,8 cylinders,electric,66457,salvage,,OH,gray
9938,11135,2000,Nissan,Golf,fair,6 cylinders,hybrid,217632,clean,manual,NY,blue
7095,56091,2015,,3 Series,excellent,4 cylinders,diesel,61405,rebuilt,manual,NC,white
3478,31207,2013,Volkswagen,Rio,salvage,4 cylinders,,227615,clean,manual,TX,
2419,19759,2020,,3 Series,like new,8 cylinders,electric,163294,rebuilt,manual,NC,white
5482,22668,2008,Honda,,,4 cylinders,diesel,95277,,manual,NC,
7807,1640,2006,,Altima,,other,,208223,rebuilt,,FL,green
2552,44419,2006,,Golf,,6 cylinders,gas,116113,,,MI,black
6639,,2017,,Elantra,salvage,3 cylinders,gas,211709,clean,automatic,CA,gray
9980,44858,2000,Chevrolet,Civic,fair,4 cylinders,gas,99558,,automatic,IL,red
2958,47568,2004,BMW,3 Series,excellent,8 cylinders,diesel,109590,,automatic,GA,
9868,4932,2015,Mercedes,Impala,good,4 cylinders,gas,167726,rebuilt,automatic,IL,
2094,50857,2013,,Focus,salvage,3 cylinders,,44169,salvage,automatic,OH,white
5040,77855,1998,Nissan,Rio,good,other,electric,224997,clean,,TX,other
8485,73215,2004,BMW,3 Series,,other,gas,34345,salvage,automatic,OH,black
8633,8473,2017,Toyota,,like new,4 cylinders,hybrid,36308,rebuilt,automatic,NY,black
1279,56491,2017,Honda,Altima,,,hybrid,145267,rebuilt,manual,OH,green
8895,2302,1995,Hyundai,,salvage,4 cylinders,electric,214919,clean,manual,NY,blue
2884,3462,2010,Chevrolet,Civic,salvage,,hybrid,60596,salvage,automatic,IL,silver
7716,45442,2019,BMW,Golf,excellent,6 cylinders,,184184,salvage,manual,CA,
6265,67565,2012,,Civic,like new,8 cylinders,,234111,clean,,NY,blue
6875,55979,1996,BMW,Corolla,salvage,6 cylinders,gas,44809,rebuilt,automatic,OH,silver
5512,25718,2003,Hyundai,3 Series,good,,diesel,70753,rebuilt,manual,MI,green
3129,33661,2015,Toyota,Altima,,3 cylinders,gas,87499,,manual,GA,
7714,39431,2010,Kia,Focus,fair,6 cylinders,hybrid,139926,salvage,automatic,TX,black
4824,40264,2018,Nissan,C-Class,good,other,hybrid,225400,clean,automatic,NY,
8988,26649,2012,Honda,,good,other,,125420,clean,automatic,TX,
8976,25996,2011,Chevrolet,3 Series,excellent,6 cylinders,electric,10771,salvage,automatic,TX,gray
1112,69774,2011,,Focus,excellent,,hybrid,34480,,manual,NC,green
5340,26900,2015,Mercedes,Focus,good,,gas,61035,rebuilt,,TX,gray
9495,12436,1998,Mercedes,Impala,fair,other,,103246,rebuilt,automatic,PA,red
5681,7689,1998,Honda,3 Series,excellent,6 cylinders,electric,201528,rebuilt,manual,GA,silver
8089,60289,2001,Mercedes,Corolla,excellent,3 cylinders,,133897,rebuilt,manual,CA,other
5183,27806,2009,Kia,C-Class,fair,,,100084,,,GA,green
6105,17215,2016,Mercedes,Civic,good,3 cylinders,,226112,clean,automatic,NC,red
6162,19158,2010,Volkswagen,Civic,good,6 cylinders,gas,48776,,manual,NC,
1577,75653,2007,Volkswagen,Civic,like new,4 cylinders,gas,183401,rebuilt,,PA,gray
2226,33865,1999,BMW,Rio,,,electric,240746,rebuilt,automatic,IL,other
8141,2943,2010,,C-Class,fair,other,hybrid,195510,,,OH,black
6816,78502,2022,Hyundai,,salvage,4 cylinders,hybrid,43421,clean,,FL,blue
7773,25807,2021,Mercedes,Focus,excellent,8 cylinders,gas,153490,,,NY,green
7029,6970,1997,Hyundai,,salvage,other,gas,73901,clean,automatic,NC,gray
3063,12726,2002,Kia,Civic,good,6 cylinders,hybrid,126614,rebuilt,,TX,
5217,3740,2014,,,,3 cylinders,diesel,243310,salvage,automatic,CA,red
2603,1161,2001,Hyundai,Golf,excellent,3 cylinders,hybrid,139677,salvage,automatic,NY,other
6120,34188,2010,Ford,Elantra,good,4 cylinders,diesel,247907,salvage,automatic,MI,silver
1462,51112,2006,Honda,C-Class,excellent,8 cylinders,hybrid,245646,salvage,manual,FL,gray
2871,72037,2018,Nissan,Elantra,excellent,8 cylinders,gas,140844,clean,automatic,TX,green
774,71827,2006,,Civic,excellent,8 cylinders,diesel,215700,clean,automatic,OH,gray
6215,57872,2009,Mercedes,3 Series,fair,,hybrid,55465,salvage,manual,PA,other
4736,46697,2005,Nissan,,,,hybrid,18811,rebuilt,automatic,CA,blue
7306,5690,2007,Nissan,Corolla,fair,4 cylinders,gas,34768,clean,automatic,FL,black
4781,36633,1997,Mercedes,3 Series,,6 cylinders,hybrid,8141,,manual,NY,gray
9107,32487,2017,Chevrolet,Corolla,fair,8 cylinders,diesel,7281,clean,manual,IL,white
8219,37201,2005,Ford,Corolla,fair,other,,,salvage,automatic,MI,
8202,40825,2012,Mercedes,Corolla,salvage,6 cylinders,diesel,240384,rebuilt,,IL,
1362,63761,2002,Mercedes,Focus,fair,,electric,7566,clean,manual,IL,white
3496,73077,2004,Chevrolet,C-Class,salvage,,electric,73556,,manual,IL,black
2711,32775,2013,,Impala,fair,other,diesel,249086,salvage,manual,GA,gray
5210,60910,2021,,Altima,good,8 cylinders,diesel,33728,rebuilt,,FL,red
8574,20813,2015,Volkswagen,,good,other,hybrid,175318,salvage,automatic,OH,gray
8684,71876,2013,Mercedes,Golf,like new,6 cylinders,,28358,rebuilt,,MI,black
8883,43501,2009,Honda,Corolla,fair,8 cylinders,,228267,salvage,manual,NC,red
5835,46871,2016,Nissan,Altima,fair,3 cylinders,gas,79123,salvage,manual,NY,green
2642,8134,2010,Nissan,C-Class,salvage,4 cylinders,,241647,,manual,GA,white
1446,63266,2007,Mercedes,Rio,fair,8 cylinders,hybrid,234848,rebuilt,,MI,
2780,57048,1997,Ford,Corolla,,3 cylinders,gas,106548,salvage,automatic,IL,blue
1274,7565,2015,Chevrolet,Focus,salvage,,hybrid,170157,,automatic,NY,black
4365,74347,1995,,Altima,fair,6 cylinders,hybrid,207234,rebuilt,manual,MI,silver
90,39490,2006,Mercedes,Elantra,like new,other,,154421,clean,,CA,red
6692,29110,2013,Ford,Altima,salvage,,,205001,clean,automatic,NY,white
1459,51190,2003,,Elantra,excellent,other,hybrid,242167,clean,manual,CA,other
9647,79072,2003,,Civic,fair,,electric,196632,salvage,,GA,silver
181,74472,2001,Volkswagen,3 Series,excellent,other,gas,158658,clean,automatic,TX,silver
7919,23671,2009,Chevrolet,C-Class,fair,,diesel,113369,salvage,manual,MI,gray
3592,19649,1999,Honda,Rio,fair,,electric,23042,salvage,manual,MI,red
3784,7040,2020,BMW,Focus,fair,6 cylinders,diesel,24835,clean,automatic,TX,silver
7257,68836,2022,Nissan,Impala,good,4 cylinders,hybrid,179853,,,CA,gray
2368,2488,2016,Toyota,Altima,like new,,,52667,,manual,CA,blue
5971,61252,2004,Chevrolet,3 Series,excellent,3 cylinders,gas,58489,clean,,PA,red
2509,62253,2016,Nissan,3 Series,salvage,other,hybrid,87938,clean,,OH,white
8573,43433,2006,Hyundai,Golf,salvage,other,gas,96269,rebuilt,automatic,IL,other
8531,72510,2010,,Focus,like new,4 cylinders,diesel,,,manual,PA,blue
7750,41837,1998,Honda,3 Series,salvage,other,electric,23349,rebuilt,,IL,black
8357,45314,2000,Kia,,fair,6 cylinders,electric,221391,,automatic,PA,gray
3446,5007,2017,,Golf,excellent,other,electric,9453,rebuilt,,FL,white
